851.45mm -48.93mm 2694.68mm
713.71mm -24.17mm 1900.88mm
713.42mm -24.65mm 1901.44mm
713.28mm -25.49mm 1901.84mm
713.46mm -25.96mm 1897.79mm
713.65mm -26.31mm 1895.18mm
713.76mm -27.2mm 1893.28mm
713.69mm -27.37mm 1891.86mm
713.58mm -28.08mm 1889.46mm
713.57mm -29.21mm 1887.89mm
713.48mm -30.07mm 1886.92mm
713.44mm -30.21mm 1886.32mm
713.43mm -30.52mm 1884.69mm
714.2mm -30.45mm 1884.55mm
715.24mm -30.73mm 1885.64mm
715.15mm -31.2mm 1885.4mm
715.09mm -31.59mm 1883.98mm
714.63mm -31.23mm 1882.57mm
713.9mm -30.37mm 1881.02mm
714.19mm -30.85mm 1880.84mm
714.83mm -32.4mm 1877.43mm
714.78mm -33.19mm 1874.6mm
714.59mm -33.82mm 1872.16mm
714.5mm -33.97mm 1870.6mm
714.34mm -34.49mm 1868.33mm
714.03mm -34.7mm 1866.56mm
713.46mm -34.97mm 1865.03mm
714.03mm -35.45mm 1865.12mm
715.1mm -35.51mm 1862.69mm
714.99mm -35.31mm 1860.1mm
714.74mm -35.67mm 1856.83mm
714.49mm -36.2mm 1854.53mm
714.35mm -36.85mm 1848.37mm
714.22mm -37.22mm 1844.24mm
713.55mm -37.75mm 1844.2mm
713.65mm -37.93mm 1844.84mm
714.09mm -38.66mm 1841.91mm
714.09mm -39.15mm 1839.61mm
714.15mm -39.08mm 1835.79mm
713.87mm -39.13mm 1832.87mm
713.2mm -39.69mm 1831.41mm
713.38mm -40.45mm 1831.14mm
713.95mm -41.26mm 1827.11mm
713.22mm -41.06mm 1823.19mm
712.18mm -40.53mm 1817.03mm
712.51mm -40.8mm 1814.07mm
712.83mm -41.64mm 1811.4mm
713.69mm -42.89mm 1810.32mm
715.05mm -44.89mm 1807.8mm
714.37mm -44.92mm 1804.37mm
713.32mm -45.08mm 1799.68mm
713.24mm -45.47mm 1797.26mm
713.32mm -44.98mm 1791.82mm
713.25mm -44.8mm 1788.06mm
713.01mm -45.44mm 1783.59mm
712.94mm -45.88mm 1780.7mm
712.76mm -46.16mm 1777.49mm
712.82mm -47.19mm 1775.51mm
713.23mm -48.33mm 1768.96mm
713.16mm -47.87mm 1764.3mm
712.5mm -48.3mm 1763.52mm
711.85mm -49.52mm 1762.7mm
711.34mm -50.66mm 1756.19mm
711.07mm -50.37mm 1752.01mm
710.75mm -49.89mm 1744.72mm
710.91mm -50.52mm 1740.24mm
710.89mm -51.35mm 1736.71mm
710.92mm -51.24mm 1734.46mm
711.06mm -51.41mm 1729.85mm
711.3mm -51.66mm 1726.93mm
711.63mm -51.48mm 1723.02mm
711.78mm -51.69mm 1720.31mm
712.1mm -52.58mm 1714.64mm
711.94mm -52.59mm 1710.5mm
711.41mm -52.23mm 1707.97mm
710.98mm -52.58mm 1706.16mm
710.64mm -53.62mm 1699.6mm
710.26mm -54.03mm 1695.09mm
709.6mm -54.26mm 1689.74mm
709.71mm -54.18mm 1686.78mm
709.94mm -53.96mm 1681.63mm
709.96mm -54.06mm 1678.03mm
709.98mm -54.01mm 1672.65mm
709.61mm -53.92mm 1668.65mm
708.71mm -55.1mm 1665.72mm
709.03mm -56.33mm 1664.72mm
709.88mm -56.69mm 1659.97mm
710.07mm -56.32mm 1656.47mm
710.1mm -55.9mm 1654.1mm
709.57mm -56.05mm 1651.91mm
709.04mm -57.23mm 1645.07mm
709.23mm -57.56mm 1641.1mm
709.26mm -57.7mm 1638.16mm
709.4mm -58.33mm 1636.29mm
709.75mm -58.32mm 1632.42mm
709.31mm -57.72mm 1629.19mm
708.55mm -57.94mm 1624.92mm
709.12mm -58.43mm 1623.17mm
710.22mm -58.94mm 1617.92mm
710.64mm -59.51mm 1614.09mm
710.93mm -60.29mm 1612.25mm
710.7mm -60.01mm 1610.65mm
710.33mm -59.59mm 1608.55mm
710.4mm -60.14mm 1607.43mm
710.78mm -61.38mm 1602.32mm
711.41mm -62.13mm 1599.31mm
712.2mm -62.99mm 1596.55mm
711.99mm -62.99mm 1593.99mm
711.69mm -62.26mm 1590.44mm
712.21mm -62.01mm 1588.78mm
712.99mm -62.29mm 1585.77mm
713.01mm -62.7mm 1583.25mm
712.89mm -63.33mm 1581.26mm
713.22mm -63.59mm 1580.36mm
713.86mm -64mm 1577.18mm
713.93mm -64.31mm 1574.7mm
713.83mm -65.34mm 1573.09mm
714.13mm -66.02mm 1572.38mm
714.86mm -65.96mm 1568.79mm
715.35mm -65.91mm 1566.41mm
715.94mm -65.73mm 1564.55mm
716.1mm -65.67mm 1563.05mm
716.28mm -66.85mm 1560.47mm
716.69mm -67.3mm 1559.05mm
717.31mm -67.69mm 1556.98mm
717.4mm -68.05mm 1555.28mm
717.48mm -68.02mm 1554mm
717.91mm -68.36mm 1553.5mm
718.76mm -69.02mm 1550.33mm
719.1mm -68.98mm 1548.04mm
719.47mm -68.71mm 1546.66mm
719.62mm -68.19mm 1545.67mm
719.87mm -67.86mm 1543.56mm
720.66mm -68.73mm 1542.69mm
721.97mm -69.75mm 1540.23mm
722.79mm -69.76mm 1538.58mm
723.82mm -70.26mm 1538.39mm
723.59mm -70.77mm 1537.36mm
723.36mm -70.86mm 1535.08mm
723.78mm -70.75mm 1534.12mm
724.28mm -71.11mm 1534.08mm
724.91mm -71.39mm 1534.34mm
726.14mm -71.65mm 1531.39mm
726.81mm -71.82mm 1529.28mm
727.44mm -72.93mm 1529.99mm
727.6mm -73.82mm 1530.19mm
728.24mm -73.72mm 1526.58mm
728.55mm -72.99mm 1524.1mm
728.73mm -73.05mm 1523.12mm
729.53mm -73.76mm 1523.08mm
730.97mm -73.55mm 1521.16mm
731.49mm -73.31mm 1519.46mm
732.06mm -73.69mm 1518.86mm
732.53mm -73.4mm 1518.59mm
733.28mm -72.95mm 1517.75mm
734.04mm -73.54mm 1517.39mm
735.17mm -74.36mm 1517.02mm
735.52mm -74.18mm 1516.44mm
736.05mm -73.81mm 1515.64mm
736.51mm -73.85mm 1515.2mm
737.25mm -74.58mm 1513.36mm
738.04mm -74.99mm 1512.42mm
739.28mm -74.9mm 1510.84mm
739.78mm -74.95mm 1509.46mm
740.5mm -74.93mm 1507.76mm
741.25mm -74.93mm 1506.88mm
742.23mm -75.46mm 1506.91mm
742.68mm -75.51mm 1506.76mm
743.46mm -75.1mm 1505.46mm
743.48mm -74.75mm 1504.12mm
743.51mm -74.69mm 1501.37mm
744.32mm -75.08mm 1500.26mm
745.42mm -75.81mm 1500.21mm
746.39mm -76.44mm 1500.4mm
747.86mm -76.67mm 1501.29mm
748.68mm -76.62mm 1501.74mm
750.16mm -76.49mm 1498.41mm
751.07mm -76.51mm 1496.11mm
752.28mm -76.82mm 1494.72mm
752.47mm -76.51mm 1493.26mm
752.59mm -76.51mm 1493.21mm
753.11mm -76.53mm 1493.59mm
753.98mm -76.46mm 1492.77mm
754.33mm -76.43mm 1492.01mm
754.96mm -75.61mm 1490.15mm
755.67mm -75.04mm 1489.19mm
756.55mm -74.96mm 1489.85mm
757.22mm -74.91mm 1490.37mm
758.31mm -74.4mm 1490.44mm
758.82mm -74.5mm 1490.27mm
759.62mm -74.94mm 1489.17mm
760.74mm -75.31mm 1488.96mm
762.53mm -75.15mm 1487.47mm
763.5mm -74.57mm 1486.29mm
764.68mm -74.69mm 1488.12mm
765.05mm -75.02mm 1488.95mm
765.78mm -75.24mm 1487.54mm
766.27mm -75.14mm 1486.62mm
767.04mm -74.69mm 1485.15mm
767.78mm -74.54mm 1484.37mm
768.99mm -73.76mm 1482.21mm
769.91mm -73.2mm 1480.88mm
771.05mm -73.35mm 1482.06mm
771.49mm -73.4mm 1482.56mm
772.32mm -72.68mm 1480.98mm
773.03mm -72.52mm 1480.06mm
774.01mm -73mm 1479.6mm
775.28mm -73.01mm 1479.87mm
777.13mm -73.06mm 1481.58mm
777.49mm -72.94mm 1481.93mm
778.06mm -72.53mm 1482.14mm
778.62mm -72.5mm 1482.42mm
779.52mm -72.64mm 1481.3mm
780.73mm -72.04mm 1481.14mm
782.52mm -70.64mm 1482.31mm
783.21mm -70.32mm 1482.59mm
784.25mm -70.33mm 1482.19mm
784.96mm -70.34mm 1481.93mm
786mm -70.13mm 1482.23mm
786.87mm -69.51mm 1482.6mm
788.25mm -68.15mm 1482.07mm
789.57mm -67.72mm 1482.06mm
791.44mm -68.15mm 1483.21mm
791.88mm -68.35mm 1483.25mm
792.62mm -67.72mm 1482.69mm
793.95mm -67.46mm 1483.05mm
795.97mm -67.25mm 1482.47mm
